schedule,category,product,charge_name,condition,amount,vat_note,source_file
Cards,Credit Cards,Visa Gold,International SkyLounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,International SkyLounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,International SkyLounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,International SkyLounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,International SkyLounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,International SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,International SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,International SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,International SkyLounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,International SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,International SkyLounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,International SkyLounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,International SkyLounge free visits,Credit Cards; Annual,Depends on card type,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,International SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,International SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,International SkyLounge free visits,Debit Cards; Annual,As per Note 33,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,International SkyLounge free visits,Debit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Debit Cards,Global / Mastercard World RFCD Debit,International SkyLounge free visits,Debit Cards; Annual,As per Note 33,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,International SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,International SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
